question,question_year,option_1,option_2,option_3,option_4,short_answer
What is the scale of the map in Representative Fraction (RF) form?,2026,"1: 25,000","1: 50,000","1: 100,000","1: 200,000",
The distance in kilometers from Tiko to Lao as the crow flies is approximately,2026,10.0 kilometers,5.0 kilometers,3.0 kilometers,2.5 Kilometers,
The relief feature marked A- B in the mapped area can best be described as a,2026,ridge,plateau,knoll,escarpment,
Which of the following methods of showing relax is represented by the symbol 525 in the mapped?,2026,Benchmark,Trigonometrical station,Contour line,Spot height,
What is the direction of Horn from Tiko?,2026,East,West,South East,North West,
The commodity that can best be transported from Horn to Asa based on the forest resources and the mode of transportation is,2026,foodstuff,timber,rice,bauxite,
Which of the following is the likely primary economic activity of the inhabitants of Tiko settlement?,2026,Fishing,Hunting,Trading,Farming,
APASO town can be described as a,2026,linear settlement,harbor town,confluence town,terminal town,
Which of the following is the predominant mode of transportation in the mapped area?,2026,Road,River,Rail,Footpath,
The relief feature marked X-Y in the mapped area can best be described as a,2026,ridge,knoll,spur,saddle,
The annual range of temperature is,2026,28°C,25°C,3°C,1°C,
What is the annual rainfall recorded at Station X?,2026,225 mm,420 mm,2689 mm,2698 m,
The type of climate represented by Station X is,2026,Tropical continental,Hot desert,Mediterranean,Equatorial,
Which of the following landforms is associated with wind deposition?,2026,Barchans,Inselberg,Zeugen,Blowhole,
Which of the following pairs are effects of rotation of the Earth? I. Day and night II. Phases of the moon III. Shape of the milky way galaxy IV. Twilight,2026,I and III only,I and IV only,II and III only,II and IV only,
One of the features found in a region where river capture has taken place is a,2026,delta,spur,levee,wind gap,
A rift valley is formed as a result of,2026,thunderstorm acting on the Earth's crust,denudation acting on the Earth's crust,tensional tectonic forces acting on the Earth's crust,vertical erosion acting on the Earth's crust,
"""Sides are very steep, the top is almost flat and rises above lowlands on their sides."" Which of the following types of mountain does the characteristics above describe?",2026,Fold mountain,Block mountain,Residual mountain,Volcanic mountain,
What will be the local time in Town X located on longitude 60° W when it is 10: 00 am at Tema which is located on the Greenwich meridian?,2026,5:00 am,5:00 pm,6:00 am,6:00 pm,
