question,question_year,option_1,option_2,option_3,option_4,short_answer
Intemal users of accounting information include,2026,tax authorities,potential investors,creditors,managers,
The concept which shows that a business is a body recognized by law is,2026,consistency concept,materiality concept,realization concept,entity concept,
One of the items shown on the debit side of the income and expenditure account is,2026,profit on bar,interest on deposit,executive’s honorarium,entrance fees,
Income earned but not yet received is treated in the balance sheet as a,2026,current asset,current liability,fixed asset,long-term liability,
"A trader sets aside ₦ 27,000 from her privet funds for business purposes. The ₦ 27,000 is",2026,a loan,profit,capital,drawings,
Acquisition of fixed assets for office use on credit is recorded in the,2026,journal proper,purchases journal,cash book,returns outwards book,
"Le; Stock (1/1/2020) 160,000; Stock (31/12/2020) 240,000; Returns inwards 16,000; Sales 362,000; Returns outwards 24,000; Gross profit 64,000 The purchases is",2026,"Le 386,000","Le 378,000","Le 362,000","Le 338,000",
"Le; Stock (1/1/2020) 160,000; Stock (31/12/2020) 240,000; Returns inwards 16,000; Sales 362,000; Returns outwards 24,000; Gross profit 64,000 The cost of goods available for sale is",2026,"Le 546,000","Le 538,000","Le 522,000","Le 514,000",
"Le; Stock (1/1/2020) 160,000; Stock (31/12/2020) 240,000; Returns inwards 16,000; Sales 362,000; Returns outwards 24,000; Gross profit 64,000 The cost of goods sold is",2026,"Le 298,000","Le 290,000","Le 282,000","Le 274,000",
Return of goods sold on credit is posted to,2026,returns inwards journal,returns outwards journal,general journal,sales journal,
"D; Prime cost 36,700; Factory overheads 6,600; Work-in-progress (1/1/2024) 4,300; Work-in-progress (31/12/2024) 3,600; Cost of goods sold 38,000 The cost of goods manufactured is",2026,"D 51,200","D 44,000","D 43,300","D 42,600",
"D; Prime cost 36,700; Factory overheads 6,600; Work-in-progress (1/1/2024) 4,300; Work-in-progress (31/12/2024) 3,600; Cost of goods sold 38,000 The stock of finished goods on 31/12/2024 is",2026,D 1,"D7,300","D 6,000","D 3,600",
An item on the credit side of total creditors' control account is,2026,cash refund from suppliers,returns outwards,bills payable,cash paid to suppliers,
Carriage on sales is charged to,2026,appropriation account,trading account,profit and loss account,balance sheet,
Sales less returns inwards equals,2026,gross profit,gross sales,net profit,net sales,
The preparation of statement of affairs from incomplete records is to determine the,2026,cost of goods sold,capital,sales,purchases,
The concept which underlies the provision for doubtful debts is,2026,objectivity concept,prudence concept,going concern concept,entity concept,
The capital of Owa Social Chub is referred to as.,2026,consolidated fund,accumulated fund,surplus,deficit,
Double entry posting implies that a transaction is recorded,2026,in the journal and in the ledger,in two ledger accounts,twice in a particular ledger account,at twice its value,
"Debtors at start was $ 2,810 and at close was $ 1,730; cash and cheques received from customers amounted to S 8:165. Credit sales for the year was",2026,"$ 12,705","$ 7,085","$ 5,355","$ 4,540",
A partner who provided loan to the partnership would be regarded as,2026,an employee,a creditor,the owner,a debtor,
"Le; Cost of motor vehicle (1/1/2018) 170,000; Residual value 10,000 Estimated useful life of the asset is 10 years. The business makes use of straight line method of providing for depreciation. The annual depreciation is",2026,"Le 18,000","Le 17,000","Le 16,000","Le 15,000",
"Le; Cost of motor vehicle (1/1/2018) 170,000; Residual value 10,000 Estimated useful life of the asset is 10 years. The business makes use of straight line method of providing for depreciation.The accumulated depreciation as at 31/12/2019 is",2026,"Le 37,000","Le 34,000","Le 32,000","Le 16,000",
The expression that assets equal capital and liabilities is the,2026,accounting equation,business entity concept,double entry principle,golden rule,
A receipts and payments account reveals,2026,surplus,net profit,cash in hand,net loss,
"Where a business maintains a fixed capital account, the share of profit of a partner would be",2026,credited to current account,debited to current account,credited to capital account,debited to capital account,
"Le; Capital (1/1/2024) 364,000; Capital (31/12/2024) 349,000; Drawings 48,000; Additional capital introduced 20,000 Net profit or net loss for the period is",2026,"profit of Le 43,000","profit of Le 13,000","loss of Le 13,000","loss of Le 43,000",
"Le; Capital (1/1/2024) 364,000; Capital (31/12/2024) 349,000; Drawings 48,000; Additional capital introduced 20,000 The change in capital balances for the year 2024 is",2026,"increase of Le 20,000","increase of Le 15,000","decrease of Le 5,000","decrease of Le 15,000",
"Withdrawal of cash D 10,000 by a sole proprietor from his business for personal use is treated in the books as a deduction from his capital. The concept applied is",2026,going concern concept,entity concept,historical cost concept,consistency concept,
Items on the credit side of a profit and loss account include,2026,bad debts written-off,loss on sale of assets,reduction in provision for doubtful debts,Increase in provision for doubtful debts,
"Name Capital Account Drawings Account; ₦; Musa 13,400 4,400; Cisse 15,600 3,600 Interest: Capital 6% Drawings 5% Profit sharing ratio is 3:2 for Musa and Cisse respectively. Profit for the period is N36,500. The residual profit to be shared according to the profit sharing ratio is",2026,"₦ 36,900","₦ 36,500","₦ 35,160","₦ 34,360",
"Name Capital Account Drawings Account; ₦; Musa 13,400 4,400; Cisse 15,600 3,600 Interest: Capital 6% Drawings 5% Profit sharing ratio is 3:2 for Musa and Cisse respectively. Profit for the period is N36,500. Musa's share of profit is",2026,"₦ 21,900",₦ 21.096,"₦ 14,064","₦ 7,032",
Director's remuneration is treated in the profit and loss account as,2026,revenue expenditure,capital expenditure,deferred expenses,prepaid expenses,
A resource controlled by a business which is expected to yield a future benefit is classified as,2026,an asset,a liability,an expense,a revenue,
"₦; Local government common fund allocation 80,000; General administration cost 40,000; Market tolls 5,000; Royalties 10,000; Members of national assembly project 60,000; Market rehabilitation 100,000; Rural electrification 71,000 The total revenue for the period is",2026,"₦ 366,000","₦ 271,000","₦ 176,000","₦ 95,000",
"₦; Local government common fund allocation 80,000; General administration cost 40,000; Market tolls 5,000; Royalties 10,000; Members of national assembly project 60,000; Market rehabilitation 100,000; Rural electrification 71,000 The total expenditure for the period is",2026,"₦ 366,000","₦ 271,000","₦ 176,000","₦ 95,000",
The price paid by the acquiring company in a business takeover is,2026,conversion fee,premium,purchase consideration,goodwill,
One of the contents of memorandum of association is,2026,rights of the shareholders,details of the directors,remuneration of the auditors,liability clause of the company,
A list of balances extracted from the ledger is,2026,statement of affairs,trial balance,profit and loss account,balance sheet,
An item treated in a company's profit and loss account is,2026,dividend payable,capital reserve,revenue reserve,debenture interest,
A business is acquired at par when the purchase consideration,2026,equals the goodwill,equals the net assets,is greater than the goodwill,is greater than the liabilities,
The source document used to prepare a petty cash book is petty cash,2026,ledger,payment,voucher,float,
"$; Credit purchase 3,560; Returns outwards 500; Cheque paid to suppliers 2,400 In which ledger account will the transactions be recorded?",2026,Sales ledger control account,Real account,Purchases ledger control account,Private ledger account,
"$; Credit purchase 3,560; Returns outwards 500; Cheque paid to suppliers 2,400 The amount payable to suppliers at the end of April 2024 is",2026,"$ 1,160","$ 1,140",$ 880,$ 660,
One of the accounts prepared for a branch includes A. profit and loss account. B. capital account. C. subscription account.,2026,,,,,
The value of total assets is,2026,"Le 192,000","Le 164,000","Le 162,000","Le 134,000",
The working capital is,2026,"Le 134,000","Le 100,000","Le 70,000","Le 64,000",
The acid test ratio is,2026,2.1:1,2:1,1.1:1,1:1,
"An imprest of GH¢ 800,000 was given to a petty cashier and GH¢ 200,000 was spent during the period. The reimbursement at the beginning of another period would be",2026,"GH¢ 1,000,000","GH¢ 800,000","GH¢ 600,000","GH¢ 200,000",
A limitation of money measurement concept is that it does not show a firm's,2026,profit for the period,quality of labour,credit worthiness,assets value,
