question,question_year,option_1,option_2,option_3,option_4,short_answer
For what values of m is the expression (m+1)/(3m^2-2m-5) not defined?,2026,-2 and -(5)/(3),-1 and -(5)/(3),2 and (5)/(3),-1 and (5)/(3),
"Given that cos p = (7)/(25),0° <p<90°, find the value of sin p.",2026,(17)/(25),(25)/(25),(7)/(24),(7)/(24),
"It takes y years for № 87,300.00 to amount to № 99,522.00 at 7% perineum simple interest. Find the value of y.",2026,5,4,2,3,
"Given that 3a - 2b = 12 and a +5b =-13, find the value of (4a - b).",2026,4,7,13,11,
"A line in the x-y plane passes through the point (-9, 10). If the gradient of the line is (1)/(3), find the equation of the line.",2026,y =13x- (1)/(3),y =9x + 10,y = (x)/(3) + 13,y = (-x)/(3) +10,
Find the gradient of the graph of y=(1)/(3) (29x + 10) + 5x in the x-y plane,2026,(29)/(4),(44)/(3),(39)/(3),(44)/(3),
"The point M is on the same horizontal as the foot of a vertical pole. The angle of elevation of the top of the pole from M is 55°. If M is 10'm from the foot of the pole, calculate, correct to the nearest meter, the height of the pole.",2026,7.0 m,8.0 m,6.0 m,14.0 m,
"If 11 0_x = 12 3_4 - 11 1_2, find the value of x.",2026,3,2,1,4,
A right rectangular prism has a height 9 cm. The length of the base is x cm and it is 7 cm more than the width of the base. Write a function of the volume (V) of the prism in terms of the length of the base,2026,V(x) = x (x + 9) (x +7),V(x) = x (x + 9) (x − 7),V(x) =9x (x - 7),V(x) = 9x (x + 7),
A cylindrical tin of diameter 13.2 cm and height 20 cm is half-filled with water. Find the volume of the water in the tin.,2026,871.2 [IMAGE] cm^3,1742.4 [IMAGE] cm^3,264 [IMAGE] cm^3,435.6 [IMAGE] cm³,
"An arc of length 22 cm subtends an angle e at the center of a circle. If the radius of the circle is 15 cm, find the value of O.",2026,70°,96°,84°,156°,
"The first term of an Arithmetic Progression is 20. If the fifth term is four-fifth of the third term, find the common difference.",2026,(5)/(3),-1,1,(5)/(3),
"Write 6.02517, to three significant figures.",2026,6.02,6.03,6.026,6.025,
Simplify: (3+2sqrt(3))/(sqrt(3)),2026,3sqrt(3+6),3sqrt(3+2),3sqrt(3+3),3sqrt(3+2),
A student approximated 1.2476 to two significant figures instead of two decimal places. Find the percentage error.,2026,0.05%,5%,90%,4%,
"Given that S_n =2n²- 3n, find S_6.",2026,4,10,54,18,
"NOT DRAWN TO SCALE: in the diagram, Q, R and S are points on the circle center O. If ˂QRS = 62°, find ˂SQR. [IMAGE]",2026,14°,28°,90°,49°,
"Consider these statements: p: The weather is not cloudy; g: It is not going to rain. If p ⇒ q, which of the following is a valid conclusion?",2026,"If the weather is cloudy, then it is not going to rain","If the weather is not cloudy, then it is going to rain","If it is not going to rain, then the weather must be cloudy","If the weather is cloudy, then it is going to rain",
"NOT DRAWN TO SCALE in the diagram, P, Q, R and S are points on the circle with center O and reflex [IMAGE] ˂POR = 220°, Find the angle marked x.",2026,110°,140°,40°,70°,
"Given that V = (1)/(3) [IMAGE] r^2h, make h the 3 subject.",2026,h= (3V)/(r^2),h= (3V)/(3r^2),h= (V)/(3r^2),h= (3V)/(r^2),
"Given that (x - 2) is a factor of 8-2qx-x², find the value of q.",2026,2,1,-2,-1,
"NOT DRAWN TO SCALE in the diagram, O is the center of the circle. |OX| = 5 cm, [OZ] = 3 cm and XOZ= YOZ. Find [XY].",2026,8 cm,4 cm,5 cm,3 cm,
Evaluate: 2log 4 +3log 5 - log 2.,2026,1,2,4,3,
"A wire is bent to form a square of side 22 cm. If the wire is re-bent to form a circle, find the radius. [IMAGE]",2026,22 cm,14 cm,7 cm,77 cm,
Find the mean.,2026,3.5,4.0,5.0,4.4,
Find the mode.,2026,4,9,5,7,
Find the median.,2026,9.0,6.5,4.0,5.0,
Factorize completely: (h^2-k^2) - p(h + k). A. (h-k)^2B. (h+k) (h-k-p) C. h^2-k^2-h- kp D. (h+k) (h – k).,2026,,,,,
Solve: 2x – 3 ≤ 4x + 5 < 3x + 7. [IMAGE],2026,4 ≤ x < 8,– 4 ≤x<8,-2 ≤x<2,2≤x<4,
"NOT DRAWN TO SCALE in the diagram, P, Q, and R are points on a circle with center O. ˂OPQ=77° and ˂POR = 130°, Find ˂ORO. A. 53^0B. 57° C. 90° D. 33°. [IMAGE]",2026,,,,,
