question,question_year,option_1,option_2,option_3,option_4,short_answer
Beta particles are,2026,protons,neutrons,helium nuclei,electrons,
A kilometer is larger than a millimeter by,2026,ten million times,one million times,ten thousand times,one thousand times,
Which of the following properties is not correct about photons? They,2026,have zero mass,possess the speed of light,are in continuous motion,have mass at rest,
Gravitational field intensity is I. a scalar quantity. II. greatest at the poles. III. zero at the center of the Earth. Which of the statements above is correct?,2026,I and II,I and III,II and III,"I, II and III",
The temperature difference of 1K'is equiva to,2026,1°C,1 °F,273 °C,273 °F,
"In an electrolytic cell, electric current enters and leaves the cells through",2026,ions,electrodes,electrolytes,anions,
"A weightlifter lifts a weight of 2000 N. If he holds the weight above his head, what form of energy does the weight have?",2026,Kinetic energy,Elastic potential energy,Electric potential energy,Gravitational potential energy,
All of the following constants are dimensional except,2026,Planck's constant,gravitational constant,speed of light in a vacuum,refractive index of glass,
SONAR is a device used by submarines to detect underwater objects and water depth. The primary characteristic utilized by this device is,2026,electromagnetic induction,reflection of waves,temperature,magnetism,
The lost volt of a cell is the potential difference across,2026,the terminals of the cell,an external resistor,the internal resistance of the cell,a voltmeter,
"A girl observes an elevated image of a piece of stone at the bottom of a swimming pool 6 m deep, when she looks vertically downward. Determine the apparent displacement of the stone from the bottom of the pool. [refractive index of water = 1.33]",2026,1.5 m,4.5 m,5.0 m,5.5 m,
"In the diagram below, u is the object distance from a lens and v is the distance of the image produced. The slope of the graph represents the",2026,principal focus,inverse of the focal length,focal length,magnification,
If the temperature of a piece of metal of mass 100 g and specific heat capacity of 460 Jk falls from 70 °C to 20 °C. Calculate the quantity of heat released.,2026,2.3 x 10³ J,9.2 x 103 J,9.2 x 105J,2.3 x 106 J,
"Two bodies of masses M1and M₂ are connected to a ceiling as illustrated in the diagram below. The tension T, in the middle string is given by the expression [Take acceleration due to gravity as g]",2026,M1g,M₂g,(M1-M2)g,(M₁+M2)g,
Two identical cells each of emf2 V and internal resistance 0.5 Ω are connected in series with a 4.0 Ω resistor. Calculate the current in the circuit.,2026,1.0 A,0.94,0.8A,0.5 A,
"The first ionization energy of Titanium (Ti) is 6.36 x107 Jmol-1. Calculate the longest wavelength of electromagnetic radiation that can ionize an atom of Tі. [Planck's constant, h = 6.63 x 10-34Js, speed of light, c =3.0 x 108 ms1 Avogadro's number, NA = 6.02 x 1023 mol1]",2026,0.188 nm,1.88 nm,18.8 пm,188.0 nm,
The speed of the body at the end of 10 s is,2026,0.2 ms-1,5.0 ms-1,20.0 ms-1,100.0 ms-1,
How far will the body move in 10 s?,2026,5.0 m,20.0 m,100.0 m,200.0 m,
The magnetized needle of a compass aligns more quickly at the geographical north and south poles than other regions because the poles have the,2026,weakest magnetic flux,only active Earth's magnetic fields,most concentration of all force fields,most concentration of magnetic field lines,
"When whirling a stone in a horizontal circle, the angular velocity is",2026,parallel to the direction of the stone's motion,perpendicular to the plane of the circle,in the same direction as the tension in the string,opposite to the gravitational force,
Which of the following thermometric liquids is suitable for a liquid-in-glass thermometer to be used in the Antarctic region?,2026,Mercury,Galinstan,Bromine,Ethanol,
"A car travels in a circular path of radius, r for one complete revolution. Its displacement at the end of the motion is",2026,0 m,r m,2г m,2 m,
A monochromatic light loses 25 % of its speed when it enters a transparent medium from air. Determine the refractive index of the medium.,2026,1.00,1.33,1.51,2.41,
"A metal has a work function of 1.82 eV. Calculate its threshold wavelength. [Planck's constant, h = 6.63 x 10-34Js, speed of light, c=3.0 x 108ms-1 1 eV= 1.602 x 10-19J]",2026,682 nm,783 nm,880 nm,982 nm,
"A 1000 kg elevator descends with an acceleration of 1.0 ms-2. If the acceleration due to gravity is 10 ms-2, the tension in the cable suspending the elevator is",2026,1.0-N,10.0 N,"9,000.0 N","10,000.0 N",
The root means square value of an a.c. mains supply is 220 V. Calculate its peak voltage.,2026,112 V,150 V,222 V,311 V,
The release of an Alpha particle in a nuclear reaction results in another element whose chemical properties are similar to those of an element.,2026,two places earlier in the periodic table,two places later in the periodic table,one place earlier in the periodic table,one place later in the periodic table,
The electrochemical equivalent of a metal is 1.2 x 10-7kg C-1. Calculate the mass of metal deposited by a current of 10 A in 2 hrs.,2026,0.00432 kg,0.00864 kg,8.6400 kg,32.0000 kg,
"A cell has an opened circuit voltage VO. When the cell delivers current I, the closed-circuit voltage is VC. What is the internal resistance of the cell?.",2026,,,,,
"The circuit diagram below consists of a 3.0 V battery of negligible internal resistance, a 5 Ω resistor and a rheostat. To what value must the resistance of the rheostat be adjusted to produce a current of 0.25 A through the resistor?.",2026,42,7Ω,15 Ω,20 Ω,
The diagram below shows the velocity-time graph of a body. The acceleration of the body in the direction of motion is,2026,5 ms-2,10 ms-2,15 ms-2,20 ms-2,
"10% of the energy output of an incandescent bulb rated 100 W is in the visible range with an average wavelength of 580 nm. Calculate the number of visible photons emitted per second. [Planck's constant, h = 6.63 x10-34Js, speed of light, c = 3.0 x 108 ms-1]",2026,2.43 x 1019 photons/s,3.43 x 1019 photons/s,2.92 x 1019 photons/s,3.92 x 1019 photons/s,
"A string 50 cm long is plucked to produce a stationary wave as shown below. If the frequency of the note produced is 240 Hz, calculate the speed of sound.",2026,480 ms-1,240 ms-1,120 ms-1,100 ms-1,
A boat travels downstream in a river flowing 5 ms-1. If the boat speed in still water is 15ms-1 calculate the effective speed of the boat relative the river bank.,2026,20 ms-1,15 ms-1,10 ms-1,5 ms-1,
A satellite moves around the Earth in a geostationary orbit. Calculate its angular speed. [=3.14],2026,7.3 x 10-5 rads-1,4.4 x 10-3 rads-1,2.6 x 10-1 rads -1,1.0 x 10-1 rads-1,
"An isolated system contains two objects 1 and 2 with charges q, and q₂ respectively. If object 1 loses a quarter of its charge, what the final charge of object 2?.",2026,,,,,
"A simple pendulum of length 40 cm is set oscillation to obtain a period of 62 second. the pendulum's length is increased by X such that the new period is 72 s, calculate X.",2026,13.9 cm,6.5 cm,3.2 cm,"1,8 cm",
What is the number of protons required to make + 1.00 C? [1 e 1.60 x 10-19 C],2026,1.60 x 10-19,6.25 x 10-19,1.60 x 1018,6.25 x 1018,
The diagram below illustrates a rectangular glass block with ray of light traveling through it into air. What is the refractive index of the glass?,2026,1.00,1.35,1.49,2.01,
An a.c. generator has a maximum output voltage of 20 V. Calculate the r.m.s. current in a circuit when the generator is connected to a 4 Ω resistor.,2026,7.1 A,5.4 A,"4,4 A",3.5 A,
"The change in mass of a deuterium during a nuclear reaction is 2.0 x 10-27kg. Calculate the amount of energy released. [Speed of light, c = 3.0 x 108 ms-1]",2026,"1,8 x 10-10 J",9.0 x 10-11J,6.0 x 10-19 J,1.2 x 10-45 J,
The half-life of a radioactive substance is 5 years. What percentage of an original sample of the substance will remain after 20 years?,2026,2.50%,5.00%,6.25%,10.25%,
"An open pipe emits fundamental note of frequency 480 Hz. Neglecting end corrections, calculate the length of the pipe. [Speed of sound in air =330 ms-1].",2026,0.645 m,0.344 m,0.322 m,0.317 m,
"A ray of light in air enters a solid medium at a glancing angle of 60°. If the refracted ray makes an angle of 70.5° with the boundary, calculate the refractive index of the medium.",2026,1.09,1.50,1.89,2.59,
"In a simple pendulum experiment, the length of the pendulum, I is plotted on the vertical axis against the square of corresponding period, 7² on the horizontal axis. If g is the acceleration due to gravity, the slope of the graph is expressed as",2026,,,,,
A ray of white light passes through a triangular prism. Which of the following diagrams correctly illustrates the path of the ray through the prism?,2026,,,,,
The binding energy of a naturally occurring radioactive sample is always,2026,positive,negative,neutral,zero,
The energy associated with a particular orbit of an atom is given by En = What is the significance of n? It is the,2026,quantized orbital state,number of orbit an atom has,binding energy of a particular orbit,nature of spectra line of the orbit,
"If a mass of 200 g is made to oscillate with a light spring of force constant 5 Nm, calculate the angular frequency of the oscillation.",2026,1 rads-1,5 rads-1,25 rads-1,50 rads-1,
"A laundry worker operates 740 W electric iron and 250 W bulb at the same time for 24 hours. If the cost of energy is 10 kobo per kWhr, calculate his cost of energy per day to the nearest naira.",2026,₦ 238.00,₦177.00,₦ 60.00,₦ 30.00,
