question,question_year,option_1,option_2,option_3,option_4,short_answer
A federal system of government addresses the desire for diversity by,2026,allowing local governments to address local needs,creating different structures at the capital,ensuring timely release of funds to the local government units,eliminating regional differences through central control,
Limited franchise is based on the fact that,2026,few privileged people can vote,voting is done in only a small part of the state,elections are limited to two major parties,all adult citizens have equal voting rights,
Which of the following factors determines legitimacy of governments?,2026,Involvement of the people in governance,Respect for other countries,Effective analysis of government policies,Active competition among political parties,
The power of the state to conduct its domestic affairs is referred to as,2026,legal sovereignty,internal sovereignty,institutional sovereignty,popular sovereignty,
An electoral contest among members of the same political party to elect candidates for a main election is referred to as,2026,franchise,bye-election,delegation,primaries,
Cultural diplomacy may best contribute to the long-term objectives of a country's foreign policy by,2026,promoting mutual understanding and collaboration,expanding opportunities for bi-lateral trade agreements,encouraging free speech and knowledge sharing,strengthening scientific and technological collaborations,
The principle of secret vote is mainly concerned with,2026,keeping ballot papers in secured containers,allowing voting behind closed-doors,protecting the choice of voters from exposure,providing adequate security at election centers,
Bodies created by Acts of Parliament to provide essential goods and services at reasonable prices are known as.,2026,statutory corporations,credit union,chamber of industries,civil service,
One-party systems have the following advantages except that they,2026,ensure political stability. ensure,promote integration,suppress rival political groups,quicken decision-making,
To what extent do traditional authorities contribute to the democracy in the current political arrangement of Nigeria?,2026,Source of authority and power,Cultural supremacy and land ownership,Representation and inclusion,Political competition and control,
A process in which members of Parliament vote in order to officially remove a Prime Minister from office is known as,2026,vote of no confidence,vote of censure,vote of impeachment,vote of recall,
"All of the following options are reasons for which countries adopt unicameral legislature, except that it",2026,is cheaper to operate,avoids delays in the passage of bills,allows for use of expert knowledge,promotes greater representation,
Which of the following principles is an ethic of a responsible media needed for the deepening of democracy?,2026,Loyalty to owners,Secrecy of operations,Effective competition,Balanced reporting,
The smallest unit in the structure of political party organization is the.,2026,zonal level,state level,ward level,local government level,
"A political structure in which the ruling position is open to all persons, irrespective of the background, is known as",2026,republicanism,communism,federalism,unitarism,
Which of the following institutions do not exercise powers of delegated legislation?,2026,Local governments,Public boards,Professional bodies,Pressure groups,
"A major difference between civil servants and political appointees is that, civil servants",2026,remain at post across administrations but political appointees exit with governments,have a fixed term while political appointees are hired for life,are at liberty to align while political appointees exhibit impartiality,are responsible for formulating policies while political appointees prepare budgets,
"Pressure groups employ all of the following tactics to achieve their goals, except",2026,holding seminars,conducting research,projecting the military,advocating reforms,
Which of the following media served as the official mouthpiece of nationalist movements that operated during the colonial era?,2026,Newspapers,Chiefs,Civil servants,Gazette,
Which of the following features strongly indicates the existence of a nation when examining the characteristics that differentiates a nation from a state?,2026,Definite territory,Established political institutions,International recognition,Common ancestry,
One advantage associated with the electoral college system is that it,2026,is less expensive,has rigid rules,promotes constitutionalism,is accepted internationally,
Foreign policy can best be explained as,2026,a nation's strategy for dealing with the influx of foreigners,a set of principles that guide a country's interactions with other countries,the appointment of ambassadors to other member countries,measures for defending the boundaries of a state against external aggression,
"In a parliamentary system of government, the Prime Minister is the head of",2026,government,state,armed forces,Parliament,
A two-party system means that,2026,only two parties are capable of winning elections,coalition government is formed between two parties,two parties form a strong opposition,there are only two parties in the country,
The right of citizens to vote in an election is called,2026,devolution,delegation,recall,franchise,
