question,question_year,option_1,option_2,option_3,option_4,short_answer
Consider the following chemical equation: MgCl2 + 2H2O→ Mg(OH)2 + 2HC1. The reaction represented by the equation is,2026,hydrolysis,ionization,neutralization,hydration,
The preparation of carbon(II) oxide is done in a fume cupboard because the gas is,2026,neutral,poisonous,acidic,alkaline,
Which of the following substances is not a mixture?,2026,Iron rod,Urine,Sea water,Brine,
Carbon(IV) oxide could be produced from glucose by,2026,decarburization,oxidation,fermentation,hydrolysis,
"If carbon forms CX4 and CY2 with elements X and Y respectively, the formula of the compound that would be formed between elements X and Y is",2026,X₂Y4,YX,XY2,X₂Y,
"When the pressure on 200 cm³ of a gas is doubled, and its absolute temperature is halved, its volume would become",2026,400 cm3,800 cm³,50 cm3,200 cm³,
The empirical formula of a compound is given as C₂H4O. Its relative molecular mass would be [C = 12; H = 1; 0 = 16],2026,44,88,22,32,
"A balloon was filled with a mixture containing equal volumes of H₂, He and N₂. Which of the following statements about the gases is correct?",2026,"The masses of H₂, He and N₂ in the balloon would be equal","The number of molecules of N, would be the greatest","The pressure in the balloon would be a sum of the partial pressures of H₂, He and N₂","When deflated, He would diffuse fastest",
Which of the following molecules possesses polar bonds but is non-polar?,2026,Sulphur(IV) oxide,Water,Ammonia,Carbon(IV) oxide,
Which of the following carbohydrates contains fructose?,2026,Lactose,Galactose,Cellulose,Sucrose,
A suitable substance used to purify ethanol is,2026,tetraoxosulphate(VI) acid,zinc dust,calcium chloride,calcium oxide,
Consider the following reaction equation: Cu₂S(S) + X2 (g) → X₂S(g) +2Cu(s) It can be deduced that,2026,the oxidation number of X increases,X is a precipitating agent,Cu₂ has lost electrons,X is an oxidizing agent,
How many sub-atomic particles are contained in?,2026,40,43,34,37,
Magnesium oxide is an example of,2026,a basic oxide,an amphoteric oxide,a neutral oxide,an acidic oxide,
A particle that is made up of 10 electrons and 13 protons is,2026,a molecule,an atom,an anion,a cation,
A molecule is the smallest independent particle of.,2026,an ion,an atom,an element,a salt,
The general formula of an alkyl group is,2026,CnH2n-2,CnH2n+2,CnH2n-1,CnH2n+1,
The simplest ratio of carbon atom to hydrogen atom in benzene represents,2026,molecular formula,isomers of compounds,empirical formula,structural formula,
Degenerate orbitals are orbitals of,2026,different subshells having different energies,different subshells having equal energy,the same subshell having different energies,the same subshell having equal energy,
"The molar mass of a chloride of iron is 127 g mol-1. Given that Cl = 35.5, Fe = 56.0, the formula of the chloride is",2026,FeCl3,Fe₂Cl,FeCl,FeCl2,
Which of the following substances could be used in galvanization of iron to prevent rusting?,2026,Zinc,Tin,Copper,Silver,
Transition elements possess variable oxidation states because they have,2026,electrons in the s-orbitals,electrons in the d-orbitals,partially filled p-orbitals,variable number of electrons in the p-orbitals,
A hydrocarbon C₂Hy burns in air according to the following equation: C₃Hy(g) +502(g) → 3CO2(g) + H2O(g) The value of y is,2026,10,12,4,8,
An element X has a valency of +3. The correct formula of its chloride is,2026,XCI2,XCl3,X3Cl,X₂CI,
Y is a weak acid that turns blue and green when added to an aqueous solution of NaHSO4 and Na2 CO3 respectively. Y could be,2026,an amphoteric oxide,an acid-base indicator,a precipitating agent,an amphoteric agent,
A zwitterion is,2026,dibasic,divalent,inorganic,bipolar,
Oxygen and ozone are.,2026,isomers,monomers,isotopes,allotropes,
The flame test of a certain metal produced a yellow coloration. The metal is most likely to be,2026,Na,Zn,Ca,Cu,
Equal volumes of CH4(g) and NH3(g) at the same temperature and pressure would have the same,2026,mass number,rate of diffusion,number of atoms,number of molecules,
Which of the following pairs of enthalpy changes is always negative,2026,Combustion and neutralization,Neutralization and solution,Combustion and formation,Formation and solution,
Ethanol could be produced from,2026,calcium carbide,sugar cane,limestone,benzene,
Which of the following apparatus is used in transferring a solution into a burette during titration?,2026,Beaker,Measuring cylinder,Pipette,Funnel,
The mass of sodium hydroxide that is required to prepare 250 cm³ of 2.0 m is [NaOH = 40 g mol-1),2026,20 g,50 g,5 g,16 g,
NH4CI is more soluble than NaCl. When a mixture of NH4Cl and NaCl are separated by fractional crystallization.,2026,NH4Cl and NaCI would crystallize simultaneously,the component that is present in greater proportion crystallizes first,NH4 CI would crystallize first,NaCl would crystallize first,
Which of the following elements would evolve hydrogen most rapidly from dilute HCI?,2026,Ag,Au,Fe,Zn,
Which of the following compounds is covalent?,2026,HCI,NaCl,MgCl2,KCI,
