question,question_year,option_1,option_2,option_3,option_4,short_answer
"By upholding values like honesty and respect, individuals contribute primarily to a more",2026,efficient and productive society,competitive and innovative economy,trustworthy and cooperative society,secure and stable environment,
National consciousness encompasses,2026,sharing of national cake,feeling of love for one's country,feeling of concern for one's parents,thinking on how to survive in a nation,
The adoption of the Universal Declaration of Human Rights (UDHR) paved the way for,2026,abuse of human rights,authoritarian system of government,the acceptance of more human rights treaties,flagrant violations of human rights,
How can a society balance individuals' freedom with the need for law and order? By,2026,establishing clear rules and regulations that must be obeyed,creating laws that protect rights while ensuring public safety,providing opportunities for citizens to participate in law-making processes,prioritizing national security and public safety over freedom of individuals,
Responsible parents raise children who are.,2026,hostile and aggressive,struggling with self-esteem issue,rigid in their perspective,equipped to face real-world challenges,
The road sign implies,2026,no left turn,right turn not allowed,right turn allowed,U-turn prohibited,
What is the primary skill needed for effective interpersonal relationships?,2026,Financial management skills to ensure economic stability,Communication skills to express thoughts and feelings,Physical skills to maintain a healthy lifestyle,Technological skills to facilitate communication,
What does cultism commonly lead to in educational institutions?,2026,Increased fear and anxiety among cultists,Increased fear and violence on campus,Decreased academic performance of all students,Heightened sense of community and social bonding,
Which of these is an effective community response to rising drug abuse?,2026,Formulation of stricter laws and penalties,Provision of medical and rehabilitation services,Awareness campaign and community education,Limiting social programmers and activities,
Human trafficking awareness day takes place globally on,2026,January 11,April 13,August 19,October 12,
A traditional method of protection against Human Immunodeficiency Virus (HIV) is through,2026,the practice of abstinence,the use of condom,Pre-Exposure Prophylaxis (PrEP),Post-Exposure Prophylaxis (PEP),
Ensuring the success of youth empowerment programmers is the responsibility of,2026,"government, schools and individuals","individuals, corporate bodies and government",corporate organizations and government,non-profit organizations and individuals,
The senate is headed by the,2026,Deputy Speaker,Speaker,Senate President,Deputy Senate President,
How would freedom of the press support democratic values? By,2026,lobbying government office holders,supporting biased public opinion,focusing on propaganda reportage,allowing unbiased reporting,
Which practice helps leaders remain accountable to their followers?,2026,Practicing power sharing,Ensuring proper delegation of power,Maintaining good intra-communal relations,Establishing open communication channels,
What is the primary objective of community service?,2026,Enhancement of personal wealth,Contribution to societal well-being,Promotion of cultural engagement,To foster economic growth,
"To promote efficient service delivery in public institutions, public servants must",2026,take bribe,engage in partisan politics,be late to work,be prompt to work,
Positive values are important in fostering social harmony because they,2026,guide people to act with respect and empathy,encourage individuals to pursue their personal goals,discourage cooperation within the community,help individuals to develop a sense of personal responsibility,
One of the civic responsibilities of citizens is,2026,voting during elections,joining cultural groups,joining town unions,participating in social gatherings,
The Universal Declaration of Human Rights (UDHR) was accepted by the General Assembly as a resolution in,2026,"Paris, France","Berlin, Germany","New York, The United States of America","Beijing, China",
Constituted authority generally refers to,2026,legally established leadership,informal leadership structures,cultural institutions,visionary leaders,
Which of the following is the most developmentally healthy and effective parenting style?,2026,Consideration of children's feelings and needs,Encouraging children to have many friends,Going on vacation with children,Having limited knowledge of what the children are doing,
How does obeying traffic rules primarily help the society? By,2026,improving traffic flow and reducing congestion,promoting safety and reducing the risk of accidents,enhancing air quality and reducing emissions,supporting economic growth and development,
A village that does not associate with neighboring communities will likely experience,2026,retarded economic development,corruption among elected officials,disregard for constitutional rights,limited access to modern facilities,
The most effective action of government to tackle cultism in the society is,2026,formulation of policies against engaging in cultism,establishment of community outreach programmers to engage with cult members,implementation of policies that address socioeconomic factors contributing to cultism,collaboration with international organizations to share best practices,
What causes financial difficulty for drug addicts?,2026,Spending excessively to fuel their addiction,Engaging in legal activities to fund the addiction,Saving too little for the future,Spending lavishly on non-essential items,
Human trafficking can be explained as the,2026,possession of individuals by consent and genuinely for their interest,"movement of individuals of a specific age, gender or nationality",unlawful act of transporting people in order to benefit from their work,legal movement of a person into or within a country,
Which HIV intervention method should be recommended for patients to ensure regular monitoring of their status?,2026,Consistent use of condoms,Regular use of PrEP,Participation in HIV vaccine trials,Regular checking of HIV status,
What should a community do to empower its youth?,2026,Provide free medical assistance and scholarships,Establish training programmers and mentoring opportunities,Organize recreational activities and events,Offer counselling and therapy sessions,
A city wants to build an ultra-modern motor park. Which level(s) of government should it approach for funding?,2026,Federal,Federal and State,State and Local,Sub-Regional,
Why do democratic processes sometimes lead to slow decision-making?,2026,The need for deliberation and compromise,The necessity of extensive public input and consultation,Influence of diverse stakeholder groups,Complexity of policy issues,
The most damaging consequence of leaders' failure to protect the interest of their followers in a democracy is,2026,loss of personal reputation and credibility,decreased productivity and efficiency,financial instability and reduced investment,erosion of trust and legitimacy,
A way of supporting a candidate into an elective office is through,2026,propaganda,campaign,gerrymandering,declaration,
The public service exists to,2026,manufacture goods,bring services to people,maintain the government,serve as a source of income,
"Value disorientation, high crime rate, economic sabotage and disregard for life of people are the",2026,effects of negative behaviour,acts of negative behaviour,rates of negative behaviour,advantages of negative behaviour,
One of the seven core freedoms of the Universal Declaration of Human Rights (UDHR) is the freedom of,2026,conscience,ownership of property,expression,political participation,
Constituted authority plays a role in conflict resolution by,2026,providing a framework for negotiation and mediation,acting as a third-party in dispute resolution,establishing issues for conflict resolution,imposing penalties and sanctions on parties in conflict,
A healthy inter-communal relationship is not associated with,2026,societal security,state of emergency,political development,economic progress,
Which of the following is a common consequence of cultism?,2026,Decreased educational opportunities and social mobility,Increased violence and crime rate,Disrupted social harmony and community cohesion,Increased substance abuse,
What effective support system can help in maintaining a drug-free society?,2026,Professional counselling and job placement,Peer support groups and online forums,Family support and encouragement,Professional counselling and peer support groups,
Cross-border collaboration is crucial in the fight against human trafficking because it,2026,enhances national security and border control,promotes resource sharing and coordination,supports the exchange of cultural and educational practices,increases economic cooperation and trade,
What is essential to keeping the amount of HIV in a patient's blood (viral load) at a level that cannot be detected?,2026,Blood tonic,Herbal remedies,Antiretroviral therapy,Antibiotics,
