question,question_year,option_1,option_2,option_3,option_4,short_answer
An agricultural non-governmental organization in West Africa is,2026,National Agricultural Land Development Authority,Institute of Agricultural Research and Training,National Cereals Research Institute,International Livestock Research Institute,
Farmers' cooperative societies have contributed to agricultural development in West Africae through the I. establishment of processing facilities for farmers II. provision of potable water for farmers III. provision of tractor hiring services for farmers,2026,I and ll only,I and III only,II and III only,"I, li and! II",
Which of the following statements is correct about tenants at the will of government? I. Land can be used to cultivate perennial crops II. Land cannot be used as collateral III. Land use is for a stipulated period,2026,I and II only,I and III only,II and III only,"1, II and III",
The coulter and share are parts of a,2026,planter,moldboard plough,cultivator,disc plough,
An ornamental plant that could be grown in the illustrated garden tool is,2026,royal palm,neem,frangipani,moming glory,
Farm tools that could perform a similar function as the illustrated tool are I. garden sieve II. seed box III. polythene bag,2026,I and II only,I and III only,II and III only,"I, II and III",
The dimensions of the farmland were taken using,2026,an arrow,a peg,a measuring tape,a prismatic compass,
Calculate the area of the farmland in hectares.,2026,10 ha,12.5 ha,16 ha,25 ha,
Industries support agriculture through the supply of I. labour II. Agrochemicals III. fibre crops,2026,I and II only,I and III only,II and III only,"I, II and III",
Which of the following climatic factors limit the cultivation of oil palm in the northern parts of West Africa? I. Rainfall II. Temperature III. Relative humidity,2026,I and II only,I and III only,II and III only,"I, II and III",
The relationship between cattle egret and cattle could be described as,2026,symbiotic,parasitic,competitive,predatory,
"A crop requires 4.0 kg of phosphorus per hectare, how many kilograms of manure would be required per hectare if 1.0 kg of manure contains 0.5 kg of phosphorus? A. 2.0 kg B. 3.5 kg C. 4.5 kg.",2026,,,,,
The layer that determines the chemical composition of soil is labelled,2026,I,II,III,IV,
The layer that supports the germination of tuber crops is labelled.,2026,1,II,III,IV,
Which of the following statements about soils is not correct?,2026,Soils with fine particles have higher water holding capacity than coarse soils,Fine textured soils are warm soils while coarse textured soils are cool soils,Leaching in coarse textured soils is greater than in fine textured soils,Fine textured soils have higher nutrient capacity than coarse textured soils,
Which of the following materials could be used to moderate soil temperature?,2026,Calcium ammonium nitrate,Potassium sulphate,Basic slag,Farmyard manure,
It is important to cover compost heaps in humid areas in order to,2026,aid fermentation of the compost materials,increase the rate of decomposition of the heap,protect the pit from being waterlogged,prevent air from building up in the heap,
